audiopath,speaker_name,text,emotion,sensitivity
M025_angry_level_2_008.txt.wav,M025,Why do we need bigger and better bombs.,angry,2
W016_happy_level_1_002.txt.wav,W016,Don't ask me to carry an oily rag like that.,happy,1
M009_sad_level_1_022.txt.wav,M009,One even gave my little dog a biscuit.,sad,1
M003_neutral_level_1_014.txt.wav,M003,As such it was beyond politics and had no need of justification by a message.,neutral,1
M019_sad_level_2_022.txt.wav,M019,One even gave my little dog a biscuit.,sad,2
W038_disgusted_level_2_033.txt.wav,W038,Does society really exist as an entity over and above the agglomeration of men.,disgusted,2
W035_disgusted_level_1_009.txt.wav,W035,Will Robin wear a yellow lily.,disgusted,1
M041_contempt_level_1_020.txt.wav,M041,Family loyalties and cooperative work have been unbroken for generations.,contempt,1
M012_neutral_level_1_036.txt.wav,M012,His superiors had also preached this saying it was the way for eternal honor.,neutral,1
W033_sad_level_2_051.txt.wav,W033,It was not whatever tale was told by tails.,sad,2
W016_contempt_level_2_023.txt.wav,W016,Land based radar would help with this task.,contempt,2
M028_angry_level_2_016.txt.wav,M028,But in this one section we welcomed auditors.,angry,2
W019_contempt_level_1_012.txt.wav,W019,Family loyalties and cooperative work have been unbroken for generations.,contempt,1
W021_neutral_level_1_070.txt.wav,W021,His superiors had also preached this saying it was the way for eternal honor.,neutral,1
W033_fear_level_3_015.txt.wav,W033,Their props were two stepladders a chair and a palm fan.,fear,3
W028_contempt_level_3_055.txt.wav,W028,No price is too high when true love is at stake.,contempt,3
M034_happy_level_3_018.txt.wav,M034,He would not carry a brief case.,happy,3
W023_sad_level_1_051.txt.wav,W023,It was not whatever tale was told by tails.,sad,1
M011_surprised_level_1_009.txt.wav,M011,I just saw Jim near the new archeological museum.,surprised,1
M033_surprised_level_3_007.txt.wav,M033,He ate four extra eggs for breakfast.,surprised,3
W028_angry_level_1_050.txt.wav,W028,It was not whatever tale was told by tails.,angry,1
M032_happy_level_1_026.txt.wav,M032,His superiors had also preached this saying it was the way for eternal honor.,happy,1
W029_happy_level_1_022.txt.wav,W029,The oasis was a mirage.,happy,1
M029_disgusted_level_3_012.txt.wav,M029,How good is your endurance.,disgusted,3
W009_surprised_level_1_009.txt.wav,W009,I just saw Jim near the new archeological museum.,surprised,1
W037_happy_level_1_009.txt.wav,W037,Tim takes Sheila to see movies twice a week.,happy,1
M039_fear_level_2_016.txt.wav,M039,His shoulder felt as if it were broken.,fear,2
M027_surprised_level_3_008.txt.wav,M027,While waiting for Chipper she crisscrossed the square many times.,surprised,3
M005_surprised_level_1_006.txt.wav,M005,The patient and the surgeon are both recuperating from the lengthy operation.,surprised,1
M034_sad_level_3_005.txt.wav,M034,The oasis was a mirage.,sad,3
M042_surprised_level_1_043.txt.wav,M042,One even gave my little dog a biscuit.,surprised,1
M042_fear_level_2_047.txt.wav,M042,The plaintiff in school desegregation cases.,fear,2
W009_happy_level_3_019.txt.wav,W009,Obviously the bridal pair has many adjustments to make to their new situation.,happy,3
M012_disgusted_level_2_029.txt.wav,M012,Don't ask me to carry an oily rag like that.,disgusted,2
W015_angry_level_2_017.txt.wav,W015,Lot of people will roam the streets in costumes and masks and having a ball.,angry,2
M030_fear_level_2_030.txt.wav,M030,The revolution now under way in materials handling makes this much easier.,fear,2
W023_happy_level_1_032.txt.wav,W023,He would not carry a brief case.,happy,1
M031_fear_level_1_030.txt.wav,M031,The revolution now under way in materials handling makes this much easier.,fear,1
W040_disgusted_level_1_056.txt.wav,W040,Don't ask me to carry an oily rag like that.,disgusted,1
W036_disgusted_level_3_002.txt.wav,W036,The small boy put the worm on the hook.,disgusted,3
W014_sad_level_2_011.txt.wav,W014,Before Thursday's exam review every formula.,sad,2
W025_contempt_level_1_042.txt.wav,W025,I'll have a scoop of that exotic purple and turquoise sherbet.,contempt,1
W037_contempt_level_3_035.txt.wav,W037,She sprang up and went swiftly to the bedroom.,contempt,3
M034_surprised_level_3_017.txt.wav,M034,Properly used the present book is an excellent instrument of enlightenment.,surprised,3
M022_angry_level_2_006.txt.wav,M022,The cat's meow always hurts my ears.,angry,2
W014_contempt_level_3_005.txt.wav,W014,This was easy for us.,contempt,3
M030_neutral_level_1_009.txt.wav,M030,Catastrophic economic cutbacks neglect the poor.,neutral,1
W029_contempt_level_3_019.txt.wav,W029,The big dog loved to chew on the old rag doll.,contempt,3
M034_contempt_level_2_021.txt.wav,M034,One even gave my little dog a biscuit.,contempt,2
M031_contempt_level_1_030.txt.wav,M031,The revolution now under way in materials handling makes this much easier.,contempt,1
W018_angry_level_2_009.txt.wav,W018,Nuclear rockets can destroy airfields with ease.,angry,2
M041_angry_level_2_024.txt.wav,M041,Withdraw all phony accusations at once.,angry,2
M027_disgusted_level_2_023.txt.wav,M027,His superiors had also preached this saying it was the way for eternal honor.,disgusted,2
M012_surprised_level_3_002.txt.wav,M012,Don't ask me to carry an oily rag like that.,surprised,3
W023_fear_level_1_025.txt.wav,W023,The tooth fairy forgot to come when Roger's tooth fell out.,fear,1
M035_happy_level_1_028.txt.wav,M035,No the man was not drunk he wondered how he got tied up with this stranger.,happy,1
M023_surprised_level_1_013.txt.wav,M023,The clumsy customer spilled some expensive perfume.,surprised,1
W036_happy_level_3_039.txt.wav,W036,Both the conditions and the complicity are documented in considerable detail.,happy,3
M027_sad_level_1_016.txt.wav,M027,However the litter remained augmented by several dozen lunchroom suppers.,sad,1
M033_happy_level_3_016.txt.wav,M033,By that one feels that magnetic forces are as general as electrical forces.,happy,3
W036_surprised_level_2_029.txt.wav,W036,Grandmother outgrew her upbringing in petticoats.,surprised,2
M028_fear_level_3_026.txt.wav,M028,His superiors had also preached this saying it was the way for eternal honor.,fear,3
W024_fear_level_3_010.txt.wav,W024,Would you allow acts of violence.,fear,3
M007_happy_level_1_016.txt.wav,M007,By that one feels that magnetic forces are as general as electrical forces.,happy,1
M019_happy_level_1_029.txt.wav,M019,No price is too high when true love is at stake.,happy,1
M023_surprised_level_1_007.txt.wav,M023,He ate four extra eggs for breakfast.,surprised,1
M031_angry_level_2_027.txt.wav,M031,No the man was not drunk he wondered how he got tied up with this stranger.,angry,2
M027_sad_level_1_002.txt.wav,M027,Don't ask me to carry an oily rag like that.,sad,1
M034_disgusted_level_2_028.txt.wav,M034,She had your dark suit in greasy wash water all year.,disgusted,2
M033_happy_level_3_002.txt.wav,M033,Don't ask me to carry an oily rag like that.,happy,3
M005_sad_level_2_018.txt.wav,M005,But the ships are very slow now and we don't get so many sailors any more.,sad,2
M037_sad_level_2_002.txt.wav,M037,Don't ask me to carry an oily rag like that.,sad,2
M007_happy_level_1_002.txt.wav,M007,Don't ask me to carry an oily rag like that.,happy,1
M012_contempt_level_1_014.txt.wav,M012,The way is to rent a chauffeur driven car.,contempt,1
M003_angry_level_2_019.txt.wav,M003,In many of his poems death comes by train a strongly evocative visual image.,angry,2
W019_surprised_level_3_009.txt.wav,W019,I just saw Jim near the new archeological museum.,surprised,3
M031_contempt_level_1_024.txt.wav,M031,The plaintiff in school desegregation cases.,contempt,1
W025_surprised_level_2_022.txt.wav,W025,I'd ride the subway but I haven't enough change.,surprised,2
M039_disgusted_level_1_012.txt.wav,M039,Basketball can be an entertaining sport.,disgusted,1
M033_sad_level_3_028.txt.wav,M033,No the man was not drunk he wondered how he got tied up with this stranger.,sad,3
M012_surprised_level_3_016.txt.wav,M012,They enjoy it when I audition.,surprised,3
W023_fear_level_1_031.txt.wav,W023,Their props were two stepladders a chair and a palm fan.,fear,1
M030_surprised_level_1_018.txt.wav,M030,Lighted windows glowed jewel bright through the downpour.,surprised,1
W014_sad_level_2_005.txt.wav,W014,The diagnosis was discouraging however he was not overly worried.,sad,2
W014_disgusted_level_1_018.txt.wav,W014,Todd placed top priority on getting his bike fixed.,disgusted,1
M039_angry_level_1_050.txt.wav,M039,It was not whatever tale was told by tails.,angry,1
M040_disgusted_level_1_026.txt.wav,M040,Laboratory astrophysics.,disgusted,1
M009_contempt_level_2_029.txt.wav,M009,No price is too high when true love is at stake.,contempt,2
M003_contempt_level_2_009.txt.wav,M003,His failure to open the store by eight cost him his job.,contempt,2
W025_contempt_level_1_056.txt.wav,W025,The revolution now under way in materials handling makes this much easier.,contempt,1
W011_happy_level_1_018.txt.wav,W011,He would not carry a brief case.,happy,1
M022_angry_level_2_012.txt.wav,M022,He will allow a rare lie.,angry,2
M034_surprised_level_3_003.txt.wav,M034,Will you tell me why.,surprised,3
M025_contempt_level_1_028.txt.wav,M025,He ate four extra eggs for breakfast.,contempt,1
M012_sad_level_1_021.txt.wav,M012,Todd placed top priority on getting his bike fixed.,sad,1
W014_contempt_level_3_011.txt.wav,W014,The big dog loved to chew on the old rag doll.,contempt,3
M026_happy_level_1_009.txt.wav,M026,By that time perhaps something better can be done.,happy,1
M042_fear_level_2_053.txt.wav,M042,It was not whatever tale was told by tails.,fear,2
M042_surprised_level_1_057.txt.wav,M042,No price is too high when true love is at stake.,surprised,1
M034_sad_level_3_011.txt.wav,M034,Before Thursday's exam review every formula.,sad,3
M005_surprised_level_1_012.txt.wav,M005,I'd ride the subway but I haven't enough change.,surprised,1
M030_fear_level_2_024.txt.wav,M030,Land based radar would help with this task.,fear,2
W015_angry_level_2_003.txt.wav,W015,Will you tell me why.,angry,2
M012_happy_level_3_009.txt.wav,M012,By that time perhaps something better can be done.,happy,3
W023_happy_level_1_026.txt.wav,W023,Serve the coleslaw after I add the oil.,happy,1
M031_fear_level_1_024.txt.wav,M031,Land based radar would help with this task.,fear,1
W025_disgusted_level_3_009.txt.wav,W025,Will Robin wear a yellow lily.,disgusted,3
W040_disgusted_level_1_042.txt.wav,W040,The plaintiff in school desegregation cases.,disgusted,1
W019_disgusted_level_2_022.txt.wav,W019,One even gave my little dog a biscuit.,disgusted,2
M040_contempt_level_1_050.txt.wav,M040,It was not whatever tale was told by tails.,contempt,1
W014_disgusted_level_1_030.txt.wav,W014,Will you tell me why.,disgusted,1
W026_sad_level_2_037.txt.wav,W026,No manufacturer has taken the initiative in pointing out the costs involved.,sad,2
W019_fear_level_3_011.txt.wav,W019,Straw hats are out of fashion this year.,fear,3
M030_sad_level_2_013.txt.wav,M030,John cleans shellfish for a living.,sad,2
W011_happy_level_1_030.txt.wav,W011,The revolution now under way in materials handling makes this much easier.,happy,1
W037_contempt_level_3_009.txt.wav,W037,Only lawyers love millionaires.,contempt,3
M003_contempt_level_2_021.txt.wav,M003,He ate four extra eggs for breakfast.,contempt,2
W036_sad_level_1_037.txt.wav,W036,No manufacturer has taken the initiative in pointing out the costs involved.,sad,1
M009_contempt_level_2_001.txt.wav,M009,She had your dark suit in greasy wash water all year.,contempt,2
M012_sad_level_1_009.txt.wav,M012,She drank greedily and murmured thank you as he lowered her head.,sad,1
W009_happy_level_3_025.txt.wav,W009,The plaintiff in school desegregation cases.,happy,3
M026_happy_level_1_021.txt.wav,M026,Todd placed top priority on getting his bike fixed.,happy,1
M012_happy_level_3_021.txt.wav,M012,Todd placed top priority on getting his bike fixed.,happy,3
M012_disgusted_level_2_015.txt.wav,M012,Pretty soon a woman came along carrying a folded umbrella as a walking stick.,disgusted,2
W029_fear_level_2_046.txt.wav,W029,Land based radar would help with this task.,fear,2
M012_fear_level_1_012.txt.wav,M012,That diagram makes sense only after much study.,fear,1
M013_fear_level_2_012.txt.wav,M013,That diagram makes sense only after much study.,fear,2
W028_fear_level_1_046.txt.wav,W028,Land based radar would help with this task.,fear,1
M019_happy_level_1_001.txt.wav,M019,She had your dark suit in greasy wash water all year.,happy,1
W028_surprised_level_1_030.txt.wav,W028,Salvation reconsidered.,surprised,1
W036_surprised_level_2_015.txt.wav,W036,While waiting for Chipper she crisscrossed the square many times.,surprised,2
M005_sad_level_2_030.txt.wav,M005,The revolution now under way in materials handling makes this much easier.,sad,2
W029_contempt_level_3_025.txt.wav,W029,Withdraw only as much money as you need.,contempt,3
W023_contempt_level_3_005.txt.wav,W023,He stole a dime from a beggar.,contempt,3
M030_neutral_level_1_035.txt.wav,M030,The plaintiff in school desegregation cases.,neutral,1
M041_angry_level_2_018.txt.wav,M041,Cory and Trish played tag with beach balls for hours.,angry,2
W019_surprised_level_3_021.txt.wav,W019,Todd placed top priority on getting his bike fixed.,surprised,3
M030_surprised_level_1_030.txt.wav,M030,The revolution now under way in materials handling makes this much easier.,surprised,1
M035_happy_level_1_014.txt.wav,M035,Are your grades higher or lower than Nancy's.,happy,1
M003_angry_level_2_025.txt.wav,M003,The plaintiff in school desegregation cases.,angry,2
W035_happy_level_2_046.txt.wav,W035,Land based radar would help with this task.,happy,2
M012_contempt_level_1_028.txt.wav,M012,He ate four extra eggs for breakfast.,contempt,1
M030_neutral_level_1_021.txt.wav,M030,Please take this dirty table cloth to the cleaners for me.,neutral,1
W023_contempt_level_3_011.txt.wav,W023,His failure to open the store by eight cost him his job.,contempt,3
W018_angry_level_2_021.txt.wav,W018,One even gave my little dog a biscuit.,angry,2
W029_angry_level_3_048.txt.wav,W029,The plaintiff in school desegregation cases.,angry,3
M031_contempt_level_1_018.txt.wav,M031,Can your insurance company aid you in reducing administrative costs.,contempt,1
M034_contempt_level_2_009.txt.wav,M034,His failure to open the store by eight cost him his job.,contempt,2
M033_sad_level_3_014.txt.wav,M033,He stole a dime from a beggar.,sad,3
M030_surprised_level_1_024.txt.wav,M030,Land based radar would help with this task.,surprised,1
W025_sad_level_3_030.txt.wav,W025,However the litter remained augmented by several dozen lunchroom suppers.,sad,3
M019_happy_level_1_015.txt.wav,M019,Serve the coleslaw after I add the oil.,happy,1
M034_disgusted_level_2_014.txt.wav,M034,Laboratory astrophysics.,disgusted,2
W036_surprised_level_2_001.txt.wav,W036,She had your dark suit in greasy wash water all year.,surprised,2
W028_surprised_level_1_024.txt.wav,W028,Please dig my potatoes up before frost.,surprised,1
W024_fear_level_3_038.txt.wav,W024,We will achieve a more vivid sense of what it is by realizing what it is not.,fear,3
M005_sad_level_2_024.txt.wav,M005,Land based radar would help with this task.,sad,2
W038_happy_level_2_058.txt.wav,W038,The revolution now under way in materials handling makes this much easier.,happy,2
M027_surprised_level_3_020.txt.wav,M027,He further proposed grants of an unspecified sum for experimental Hospitals.,surprised,3
M030_fear_level_2_018.txt.wav,M030,The pulsing glow of a cigarette.,fear,2
M012_disgusted_level_2_001.txt.wav,M012,Please take this dirty table cloth to the cleaners for me.,disgusted,2
M012_fear_level_1_006.txt.wav,M012,Destroy every file related to my audits.,fear,1
M013_fear_level_2_006.txt.wav,M013,Destroy every file related to my audits.,fear,2
M031_fear_level_1_018.txt.wav,M031,The pulsing glow of a cigarette.,fear,1
W025_disgusted_level_3_035.txt.wav,W025,One even gave my little dog a biscuit.,disgusted,3
W014_disgusted_level_1_024.txt.wav,W014,It was not whatever tale was told by tails.,disgusted,1
M040_contempt_level_1_044.txt.wav,M040,The plaintiff in school desegregation cases.,contempt,1
W026_sad_level_2_023.txt.wav,W026,He stole a dime from a beggar.,sad,2
M030_sad_level_2_007.txt.wav,M030,He didn't figure her at all and if he found out a woman it'd be bad.,sad,2
W019_fear_level_3_005.txt.wav,W019,Tornado's often destroy acres of farm land.,fear,3
W036_sad_level_1_023.txt.wav,W036,He stole a dime from a beggar.,sad,1
W011_happy_level_1_024.txt.wav,W011,Land based radar would help with this task.,happy,1
M009_contempt_level_2_015.txt.wav,M009,No one material is best for all situations.,contempt,2
M025_contempt_level_1_014.txt.wav,M025,The way is to rent a chauffeur driven car.,contempt,1
M040_fear_level_3_007.txt.wav,M040,Call an ambulance for medical assistance.,fear,3
M009_angry_level_3_024.txt.wav,M009,The plaintiff in school desegregation cases.,angry,3
W011_neutral_level_1_023.txt.wav,W011,Call an ambulance for medical assistance.,neutral,1
W021_contempt_level_3_026.txt.wav,W021,The way is to rent a chauffeur driven car.,contempt,3
M027_happy_level_2_014.txt.wav,M027,Are your grades higher or lower than Nancy's.,happy,2
M033_disgusted_level_3_015.txt.wav,M033,One even gave my little dog a biscuit.,disgusted,3
M003_fear_level_1_027.txt.wav,M003,It was not whatever tale was told by tails.,fear,1
W035_angry_level_1_015.txt.wav,W035,Why do we need bigger and better bombs.,angry,1
M028_sad_level_2_012.txt.wav,M028,They enjoy it when I audition.,sad,2
W016_fear_level_3_007.txt.wav,W016,Would you allow acts of violence.,fear,3
W037_sad_level_2_042.txt.wav,W037,One even gave my little dog a biscuit.,sad,2
M024_disgusted_level_1_011.txt.wav,M024,December and January are nice months to spend in Miami.,disgusted,1
M027_contempt_level_1_023.txt.wav,M027,Land based radar would help with this task.,contempt,1
M028_contempt_level_2_012.txt.wav,M028,Family loyalties and cooperative work have been unbroken for generations.,contempt,2
W023_neutral_level_1_050.txt.wav,W023,The prospect of cutting back spending is an unpleasant one for any governor.,neutral,1
M034_happy_level_2_021.txt.wav,M034,Todd placed top priority on getting his bike fixed.,happy,2
W038_surprised_level_2_021.txt.wav,W038,The viewpoint overlooked the ocean.,surprised,2
M024_disgusted_level_1_005.txt.wav,M024,Will Robin wear a yellow lily.,disgusted,1
M040_angry_level_1_039.txt.wav,M040,Then he would realize they were really things that only he himself could think.,angry,1
W019_angry_level_1_014.txt.wav,W019,Right now may not be the best time for business mergers.,angry,1
M022_contempt_level_2_026.txt.wav,M022,It was not whatever tale was told by tails.,contempt,2
M028_contempt_level_2_006.txt.wav,M028,Only lawyers love millionaires.,contempt,2
W033_fear_level_2_038.txt.wav,W033,The revolution now under way in materials handling makes this much easier.,fear,2
W011_fear_level_1_026.txt.wav,W011,His superiors had also preached this saying it was the way for eternal honor.,fear,1
W026_surprised_level_1_010.txt.wav,W026,He ate four extra eggs for breakfast.,surprised,1
W035_angry_level_1_001.txt.wav,W035,She had your dark suit in greasy wash water all year.,angry,1
M028_sad_level_2_006.txt.wav,M028,We can die too we can die like real people People never live forever.,sad,2
W037_sad_level_2_056.txt.wav,W037,No price is too high when true love is at stake.,sad,2
W016_fear_level_3_013.txt.wav,W016,Special task forces rescue hostages from kidnappers.,fear,3
M025_angry_level_3_025.txt.wav,M025,His superiors had also preached this saying it was the way for eternal honor.,angry,3
M033_disgusted_level_3_001.txt.wav,M033,Please take this dirty table cloth to the cleaners for me.,disgusted,3
M011_angry_level_1_025.txt.wav,M011,His superiors had also preached this saying it was the way for eternal honor.,angry,1
M029_surprised_level_3_014.txt.wav,M029,Please dig my potatoes up before frost.,surprised,3
M027_fear_level_3_018.txt.wav,M027,The pulsing glow of a cigarette.,fear,3
W026_angry_level_1_034.txt.wav,W026,In many of his poems death comes by train a strongly evocative visual image.,angry,1
W011_neutral_level_1_037.txt.wav,W011,It was not whatever tale was told by tails.,neutral,1
M027_happy_level_2_028.txt.wav,M027,No the man was not drunk he wondered how he got tied up with this stranger.,happy,2
W014_angry_level_1_022.txt.wav,W014,I'll have a scoop of that exotic purple and turquoise sherbet.,angry,1
W038_disgusted_level_3_036.txt.wav,W038,I'll have a scoop of that exotic purple and turquoise sherbet.,disgusted,3
M019_sad_level_3_027.txt.wav,M019,It was not whatever tale was told by tails.,sad,3
M039_happy_level_2_003.txt.wav,M039,Will you tell me why.,happy,2
M011_disgusted_level_1_027.txt.wav,M011,The revolution now under way in materials handling makes this much easier.,disgusted,1
W029_surprised_level_3_058.txt.wav,W029,The revolution now under way in materials handling makes this much easier.,surprised,3
M033_contempt_level_1_013.txt.wav,M033,Withdraw only as much money as you need.,contempt,1
M039_contempt_level_1_033.txt.wav,M039,We of the liberal led world got all set for peace and rehabilitation.,contempt,1
M027_fear_level_3_030.txt.wav,M027,The revolution now under way in materials handling makes this much easier.,fear,3
M009_angry_level_3_018.txt.wav,M009,In many of his poems death comes by train a strongly evocative visual image.,angry,3
W009_disgusted_level_1_027.txt.wav,W009,The revolution now under way in materials handling makes this much easier.,disgusted,1
W037_disgusted_level_1_056.txt.wav,W037,Don't ask me to carry an oily rag like that.,disgusted,1
M033_surprised_level_2_002.txt.wav,M033,Don't ask me to carry an oily rag like that.,surprised,2
W040_angry_level_2_057.txt.wav,W040,The revolution now under way in materials handling makes this much easier.,angry,2
M028_angry_level_3_013.txt.wav,M028,Withdraw all phony accusations at once.,angry,3
W016_contempt_level_3_026.txt.wav,W016,It was not whatever tale was told by tails.,contempt,3
W026_surprised_level_1_038.txt.wav,W026,He further proposed grants of an unspecified sum for experimental Hospitals.,surprised,1
W033_angry_level_3_017.txt.wav,W033,You're so preoccupied that you've let your faith grow dim.,angry,3
W028_contempt_level_2_050.txt.wav,W028,It was not whatever tale was told by tails.,contempt,2
W033_fear_level_2_010.txt.wav,W033,Straw hats are out of fashion this year.,fear,2
M030_angry_level_1_006.txt.wav,M030,The cat's meow always hurts my ears.,angry,1
W035_fear_level_3_025.txt.wav,W035,The tooth fairy forgot to come when Roger's tooth fell out.,fear,3
W024_disgusted_level_1_049.txt.wav,W024,His superiors had also preached this saying it was the way for eternal honor.,disgusted,1
M029_disgusted_level_2_017.txt.wav,M029,Laboratory astrophysics.,disgusted,2
M030_angry_level_1_012.txt.wav,M030,He will allow a rare lie.,angry,1
M039_fear_level_3_007.txt.wav,M039,Call an ambulance for medical assistance.,fear,3
W035_fear_level_3_031.txt.wav,W035,Their props were two stepladders a chair and a palm fan.,fear,3
M037_disgusted_level_1_026.txt.wav,M037,Don't do Charlie's dirty dishes.,disgusted,1
M029_disgusted_level_2_003.txt.wav,M029,Will you tell me why.,disgusted,2
M033_surprised_level_2_016.txt.wav,M033,Salvation reconsidered.,surprised,2
